Especie; Precio de compra; Precio de venta; Apertura; Precio Máximo; Precio Mínimo
ALUA;65.199997;72.000000;67.800003;67.800003;63.000000
BBAR;253.000000;1400.000000;251.100006;262.700012;247.850006
BMA;330.000000;359.700012;340.000000;357.000000;335.500000
BYMA;843.000000;848.000000;820.000000;850.000000;820.000000
CEPU;55.400002;70.000000;55.000000;60.000000;54.000000
COME;4.330000;5.400000;5.000000;5.150000;4.920000
CRES;98.500000;105.000000;98.000000;99.849998;96.800003
CVH;409.000000;430.000000;405.000000;414.500000;405.000000
EDN;54.000000;61.500000;56.200001;61.000000;56.200001
GGAL;100.000000;204.300003;189.000000;202.000000;189.000000
HARG;180.000000;182.000000;182.000000;182.000000;178.500000
LOMA;238.000000;274.500000;253.399994;257.200012;252.000000
MIRG;2550.000000;3248.000000;3140.000000;3249.000000;3115.000000
PAMP;105.199997;150.000000;130.000000;132.500000;125.500000
SUPV;89.550003;90.650002;85.000000;90.000000;85.000000
TECO2;178.800003;260.000000;184.000000;191.399994;184.000000
TGNO4;75.000000;82.500000;78.800003;85.800003;77.000000
TGSU2;184.000000;197.000000;184.199997;195.000000;184.199997
TRAN;26.100000;49.799999;46.000000;49.000000;44.500000
TXAR;89.000000;102.500000;96.199997;101.750000;96.199997
VALO;23.000000;26.000000;23.600000;24.350000;23.600000
YPFD;1.000000;995.000000;933.500000;973.500000;925.000000
